Source	Left	Key1	Right	Year	Decade	Lemma
U00	schmale Lücke stellt - das Strafmandat	ist programmiert.	Das Unterhaltungsangebot des	2000	2005	programmiert
K00	Geheimdienst-Gesetze für Polizei und Heer	ist programmiert.	Die SPÖ lässt ferner ihren	2000	2005	programmiert
K00	hinterfragt. Die Spaltung in der Pfarrei	ist vorprogrammiert."	Ein Liedrefrain: "Alles,	2000	2005	vorprogrammiert
NZZ00	umwandeln. Der Widerstand der Mamma	ist programmiert,	manch hitziges Rededuell	2000	2005	programmiert
A00	vergangenen anzustellen. Das Scheitern	ist vorprogrammiert,	weil eine solche Rechnung	2000	2005	vorprogrammiert
M00	in den Rumpf bohren? Der Schiffbruch	ist programmiert.	Angela Merkel, seit gut 100	2000	2005	programmiert
A00	Stadt riesige Schwierigkeiten anwachsen,	ist vorprogrammiert.	Denken wir nur zum Beispiel	2000	2005	vorprogrammiert
M00	nicht. Denn ein politischer Streit	ist vorprogrammiert.	Im Bundesverkehrswegeplan	2000	2005	vorprogrammiert
M00	Und die Tendenz ist steigend. Der Stau	ist vorprogrammiert.	Um die Ferienlaune der	2000	2005	vorprogrammiert
M00	Echte Lokalderbys und spannender Fußball	sind vorprogrammiert.	Gespielt wird täglich ab	2000	2005	vorprogrammiert
RHZ00	KOBLENZ. Staus und längere Wartezeiten	sind programmiert:	59 Stunden lang muss am	2000	2005	programmiert
RHZ00	gesperrt Staus und längere Wartezeiten	sind programmiert:	59 Stunden lang muss am	2000	2005	programmiert
N00	Übel GERTRAUD LEIMÜLLER Widerstand	ist programmiert.	"Ein Todesstoß für den	2000	2005	programmiert
NKU00	die City fahren. Fahrzeugschlangen	sind programmiert.	Da bleibt nur der Tipp, das	2000	2005	programmiert
NKU00	die City fahren. Fahrzeugschlangen	sind programmiert.	Da bleibt nur der Tipp, das	2000	2005	programmiert
RHZ00	KOBLENZ. Staus und längere Wartezeiten	sind programmiert:	59 Stunden lang muss am	2000	2005	programmiert
RHZ00	Wagner RHEIN-HUNSRÜCK. Das Ärgernis	ist vorprogrammiert:	Wer mit sichtbarem	2000	2005	vorprogrammiert
K00	der Stadt. "Das Konfliktpotenzial	ist programmiert",	so Thierrichter, "das erste	2000	2005	programmiert
N00	beide Seiten eingeladen, Ärger	ist programmiert.	Beliebte Themen sind	2000	2005	programmiert
U00	die Rede: "Die Zerschlagung des Konzerns	ist vorprogrammiert!	Die Allianz wird nicht auf	2000	2005	vorprogrammiert
FOC00	zu finden. Rasante Allschlachten	sind programmiert.	BLACK AND WHITE  USA 2000,	2000	2005	programmiert
FOC00	zu finden. Rasante Allschlachten	sind programmiert.	BLACK AND WHITE  USA 2000,	2000	2005	programmiert
A00	in der Regel nicht - sie rasen. Unfälle	sind vorprogrammiert.	Der Stadtbus mit	2000	2005	vorprogrammiert
P00	von Käfer, Taunus & Co. Mißverständnisse	sind programmiert,	denn bei der Suche nach der	2000	2005	programmiert
V00	wieder vorkommen. Das nächste Problem	ist vorprogrammiert:	Für die 47.000 Helfer	2000	2005	vorprogrammiert
N00	Konflikte bei wachsender Wasserknappheit	sind programmiert.	Wasserverbrauch Zwischen 1940	2000	2005	programmiert
P00	beim entscheidenden Reformgipfel in Nizza	ist programmiert.	Frankreich hat dabei nicht	2000	2005	programmiert
NUN00	die Verkehrssicherheit und die Umwelt	sind programmiert."	Als positive Änderung	2000	2005	programmiert
V00	Motocrosser am Start. Kopf-an Kopf-Rennen	sind vorprogrammiert.	Unter anderem will auch	2000	2005	vorprogrammiert
NUN00	Geld in die Verbandskasse zahlt,	ist programmiert.	Die Delegationsaufgaben:Dabei	2000	2005	programmiert
K00	Konflikte mit den Arbeitnehmern	sind vorprogrammiert.	Kurt Lasnig, Kärntner	2000	2005	vorprogrammiert
V00	Aggressionen nicht selten, Auffahrunfälle	sind programmiert,	die Geschwindigkeit variiert	2000	2005	programmiert
M00	ein verkehrspolitisches Chaos. Es	ist vorprogrammiert,	wann ein schwerer	2000	2005	vorprogrammiert
U00	Abstellmöglichkeit haben. Stress	ist programmiert,	wenn eine Mieterin	2000	2005	programmiert
NZZ00	Das politische Scheitern in Paris	ist vorprogrammiert.	- Eike Christian Hirsch	2000	2005	vorprogrammiert
T00	Upgrade Schritt zu halten. Verwerfungen	sind vorprogrammiert,	die mehr staatliche	2000	2005	vorprogrammiert
FOC00	Öffentlichkeit präsentieren. Der Ärger	ist vorprogrammiert.	Denn entweder müssen	2000	2005	vorprogrammiert
I00	(TT). Das Chaos auf den Straßen New Yorks	ist programmiert.	Doch das bleibt Nebensache,	2000	2005	programmiert
RHZ00	sein zu wollen, aber der Dreier	ist programmiert.		2000	2005	programmiert
NKU00	bei uns längst bis zum Hals. Pleiten	sind programmiert.	Aber die Straßen werden	2000	2005	programmiert
NKU00	an den jungen Schoten.  Wildschaden	ist vorprogrammiert.	Die Jäger sind im Prinzip	2000	2005	vorprogrammiert
T00	von BJÖRN GOTTSTEIN Der Angstschweiß	ist vorprogrammiert.	Wenn sich ein Komponist aus	2000	2005	vorprogrammiert
V00	Schwierige Verhandlungen	sind vorprogrammiert:	Die Arbeitgeber wollen	2000	2005	vorprogrammiert
A00	anstellen könnte. «Traffic jams»	sind vorprogrammiert,	obwohl das ganze	2000	2005	vorprogrammiert
M00	Zeit in die Wohnung bestellt. Das Chaos	ist vorprogrammiert.	Die drei Frauen könnten	2000	2005	vorprogrammiert
RHZ00	Energiekrise). Die nächste Abhängigkeit	ist programmiert.	Unser noch hohes	2000	2005	programmiert
A00	Ein unerbittlicher Konkurrenzkampf	ist vorprogrammiert.		2000	2005	vorprogrammiert
K00	"Bin ein Gefühlsmensch" GEORG LUX Tränen	sind vorprogrammiert:	Samstagabend werden	2000	2005	vorprogrammiert
PTH	unmöglich gemacht; der Sozialfall	ist vorprogrammiert	und für den Täter geht das	2000	2005	vorprogrammiert
U00	hat es schon gegeben. Künftige	sind programmiert.	Vermietete	2000	2005	programmiert
NZZ00	Beispiele dieser Art werden folgen,	sind programmiert:	Nein zu einem Uno-Beitritt	2000	2005	programmiert
RHZ00	zur Haushaltsdebatte Der Zerfall	ist programmiert	- Dietmar Brück zur Zukunft	2000	2005	programmiert
U00	der Potenz abträglich. Die Enttäuschung	ist programmiert.	Ein stolzer Brunfthirsch mag	2000	2005	programmiert
I00	genug, weiterer Ärger für Jerry Hall	ist vorprogrammiert.	Denn jetzt kam raus -	2000	2005	vorprogrammiert
RHZ00	regiert. Der wirtschaftliche Ruin	ist programmiert.	Der soziale Friede ist bereits	2000	2005	programmiert
RHZ00	Der wirtschaftliche Zusammenbruch	ist programmiert,	siehe Euro. Wir können uns	2000	2005	programmiert
A00	wegen allzu intensiven Mitfieberns	sind programmiert.	Gegen diesen Virus gibt es	2000	2005	programmiert
M00	gesprochen werden." Personaldiskussionen	sind programmiert.	Die Amerikaner führen zur	2000	2005	programmiert
N00	Städten (vor allem mit dem "roten" Wien)	sind programmiert,	zumal die Änderung des	2000	2005	programmiert
RHZ00	werden." Personaldiskussionen	sind programmiert.	Die Amerikaner führen zur	2000	2005	programmiert
A00	trinken was sie wollen. Ein grosses Fest	ist programmiert,	ein schöner Abschluss für	2000	2005	programmiert
N00	Konflikte am stark frequentierten Radweg	sind vorprogrammiert.	Das "scharfe Eck" hat	2000	2005	vorprogrammiert
NKU00	zwischen Prenzlauern und Ustermern	sind vorprogrammiert.	Nach Straßenläufen werden	2000	2005	vorprogrammiert
N00	Konflikte am stark frequentierten Radweg	sind vorprogrammiert.	Das "scharfe Eck" hat	2000	2005	vorprogrammiert
NZZ00	ihr Rezept. Und selbst der Stilbruch	ist programmiert:	etwa wenn sich Paul Laciga	2000	2005	programmiert
V00	wieder offen, Spannung bis zum Schluss	ist vorprogrammiert.	Sensation . .. durch den	2000	2005	vorprogrammiert
M00	erneut einzugreifen. Die nächste Krise	ist programmiert.		2000	2005	programmiert
NZZ00	Die Ordnung	ist vorprogrammiert:/		2000	2005	vorprogrammiert
NZZ00	und Auseinandersetzungen darüber	sind vorprogrammiert.	Zweitens ist zu erwarten,	2000	2005	vorprogrammiert
PSH	meine Damen und Herren! Enttäuschungen	sind vorprogrammiert.	Andere Instrumente, wie	2000	2005	vorprogrammiert
NKU00	Flüche  loszuwerden. Die Sprüche	sind vorprogrammiert	- eigene Schöpfungen sind	2000	2005	vorprogrammiert
U00	kümmern konnte. " Familiäre Konflikte	sind vorprogrammiert.	Die wenigsten könne sich	2000	2005	vorprogrammiert
I00	Bleiben Sie auf diesem Kurs, der Erfolg	ist vorprogrammiert!	Jungfrau: Es läuft nicht	2000	2005	vorprogrammiert
RHZ00	zu folgen oder ihn zu verstehen,	sind vorprogrammiert.	Was machen Kinder aber,	2000	2005	vorprogrammiert
U00	Revolution in Jugoslavien Konflikt	ist programmiert	Problem Kosovo und Montenegro	2000	2005	programmiert
V00	bezweifeln und extreme Zeitverzögerungen	sind vorprogrammiert."	Dem konnte sich Dr.	2000	2005	vorprogrammiert
RHZ00	vorangetrieben. Weiteres Wachstum	ist programmiert,	da die Zahl der nächtlichen	2000	2005	programmiert
U00	ob man es streichelt oder schlägt. Es	ist programmiert,	im wesentlichen so zu	2000	2005	programmiert
NKU00	Flüche  loszuwerden. Die Sprüche	sind vorprogrammiert	- eigene Schöpfungen sind	2000	2005	vorprogrammiert
PHB	zitiere: "Die Renaissance der Eisenbahn	ist programmiert,	denn kein anderes	2000	2005	programmiert
NKU00	Flüche  loszuwerden. Die Sprüche	sind vorprogrammiert	- eigene Schöpfungen sind	2000	2005	vorprogrammiert
I00	Soziale Probleme wie Wohnungsnot	sind vorprogrammiert.		2000	2005	vorprogrammiert
PBT	zwischen Herrn Nielson und Herrn Patten	ist vorprogrammiert	(Peter Weiß [Emmendingen]	2000	2005	vorprogrammiert
PST	zu erwarten? Eingriffe in Eigentumsrechte	sind vorprogrammiert.	Schon nach	2000	2005	vorprogrammiert
K00	der Fantasie. Ein Loch im Stadtsäckel	ist vorprogrammiert.	Wenn es darum geht, dass	2000	2005	vorprogrammiert
N00	Brüder im Duell (SN-wid). Brisanz	ist vorprogrammiert,	wenn sich heute, Samstag	2000	2005	vorprogrammiert
NZZ00	unter Buchhändlern und Kunden	sind vorprogrammiert.	Ist der Erfolg der Serie	2000	2005	vorprogrammiert
U00	vor. Denn der Erfolg von Harry Potter	ist vorprogrammiert,	der britische Markt zeigt	2000	2005	vorprogrammiert
A00	Zusammenarbeit. Personalprobleme	sind programmiert.	Der SVP-Kandidat und vor	2000	2005	programmiert
M00	Tage heftiger Regen, und das Desaster	ist vorprogrammiert.	"Jeden Herbst": Fast	2000	2005	vorprogrammiert
NUN00	Tage heftiger Regen - und das Desaster	ist programmiert.	"Jeden Herbst" - fast	2000	2005	programmiert
U00	letztlich ausgeht: Ärger im Euroland	ist programmiert.	Frankreich wird aus	2000	2005	programmiert
NKU00	Flüche  loszuwerden. Die Sprüche	sind vorprogrammiert	- eigene Schöpfungen sind	2000	2005	vorprogrammiert
I00	kürzlich operiert. Vier Wochen Ausfall	sind programmiert.	Und zu allem Unglück beendete	2000	2005	programmiert
U00	Schwere Leber- und Herzschäden	sind programmiert,	zudem kommt es zu	2000	2005	programmiert
NKU00	Flüche  loszuwerden. Die Sprüche	sind vorprogrammiert	- eigene Schöpfungen sind	2000	2005	vorprogrammiert
U00	veraltet, Verluste in Milliardenhöhe	sind programmiert.	Jetzt helfen nur noch eine	2000	2005	programmiert
RHZ00	aus der Stadt ins Haus. Das Chaos	ist vorprogrammiert	und entwickelt sich im	2000	2005	vorprogrammiert
N00	beschlossen werden. Streit	ist programmiert.	WIEN, DEN HAAG (SN-m. f.). In	2000	2005	programmiert
RHZ00	im Leben von Ruth Russ. "Der Erfolg	ist vorprogrammiert.	Bereits seit ihrer Jugend	2000	2005	vorprogrammiert
NZZ00	sind, steht ausser Frage. Der Konflikt	ist programmiert.	Etwas für alle Jiang	2000	2005	programmiert
RHZ00	in Sachen Schwangerenkonfliktberatung	ist programmiert.		2000	2005	programmiert
U00	Seiten wollten den Erfolg. Konflikte	sind programmiert:	Weit gehend offen gelassen	2000	2005	programmiert
PBT	sowie bei Ausflügen oder Konzertbesuchen	sind vorprogrammiert.	Schon jetzt stagniert im	2000	2005	vorprogrammiert
I00	spornen andere an. Flirts und Abenteuer	sind vorprogrammiert.	Denken Sie auch an Ihre	2000	2005	vorprogrammiert
FOC00	anstrengt. Ein monatelanger Streit	ist programmiert.	T-Online-Konkurrent NGI geht	2000	2005	programmiert
FOC00	klären. Streit zwischen den Ministerien	ist programmiert.	Ein Minus von weiteren zehn	2000	2005	programmiert
FOC00	A7 und A8 in Richtung Norden und Süden	ist programmiert",	weiß Reiner Walsch vom ADAC	2000	2005	programmiert
PRF00	Rey  die Entscheidung fallen. Streit	ist vorprogrammiert.	Spion im Kleinformat	2000	2005	vorprogrammiert
A00	stellen. Und Entscheidungsprobleme	sind vorprogrammiert.	Wenn die beiden Planeten	2000	2005	vorprogrammiert
PHE	genau! ) Der Abbau sozialer Standards	ist vorprogrammiert.	Die gesamte Landschaft in	2000	2005	vorprogrammiert
P00	Chaotische Zustände im Morgenverkehr	sind programmiert.	WIEN (stög./kom).	2000	2005	programmiert
RHZ00	verantwortlich? Der nächste Konflikt	ist programmiert,	die nächste Ratsdebatte	2000	2005	programmiert
FOC00	rund 450 Kollegen aus. Das Fiasko	ist programmiert.	FOCUS: Findet	2000	2005	programmiert
PBT	) Die nächste Stufe der Ökosteuer ab 2001	ist vorprogrammiert.	Machen wir uns das noch	2000	2005	vorprogrammiert
N00	durch Kälte, Sturm und Treibeis	sind vorprogrammiert.	Für all jene, die live	2000	2005	vorprogrammiert
RHZ00	Berufsleben aus. Ihr sozialer Abstieg	ist programmiert,	da Ersparnisse und Rente	2000	2005	programmiert
P00	- Enttäuschung und Frust der Betroffenen	sind programmiert",	prophezeite Rotter, der	2000	2005	programmiert
FOC00	und Gerichte. Dauernder Streit	ist vorprogrammiert,	wenn der Arbeitgeber die	2000	2005	vorprogrammiert
Z00	weitere Streit um die neuen Studiengänge	ist programmiert.		2000	2005	programmiert
T00	die Arbeitgeber im Nacken. Der Konflikt	ist programmiert,	der Testfall nicht	2000	2005	programmiert
I00	mitwirken zu können. Konflikte	sind programmiert,	Tradition und Moderne	2000	2005	programmiert
V00	Patienten abgestimmte Therapiemaßnahmen	sind vorprogrammiert.	Diplom-Physiotherapeut	2000	2005	vorprogrammiert
PRF00	Neuordnung des Vorstands der Airline	ist programmiert.	Neue Zuspitzung	2000	2005	programmiert
T00	morgen im Senat / Konflikte	sind programmiert:	beim geplanten Todesschuss,	2000	2005	programmiert
T00	morgen im Senat behandelt werden. Streit	ist programmiert:	Das SPD-geführte	2000	2005	programmiert
P00	- die Aufmerksamkeit des Publikums	ist programmiert.	Das liegt zum einen an der	2000	2005	programmiert
FOC00	zwischen den USA und ihren Alliierten	sind programmiert."	WEITERE INFORMATIONEN:	2000	2005	programmiert
V00	"Schmerzen in Knie, Hüften und Rücken	sind vorprogrammiert",	weiß Petra Giesinger.	2000	2005	vorprogrammiert
NZZ00	führen. Aber Friktionen	sind programmiert	in der Frage, welche	2000	2005	programmiert
PHE	Schnittstelle mit Abstimmungsbedarf	ist vorprogrammiert.	Der Gipfel der Unfähigkeit	2000	2005	vorprogrammiert
U00	gegen die Sparpolitik der Regierung	sind vorprogrammiert.	So verloren Banken und	2000	2005	vorprogrammiert
NZZ00	den schlimmsten Fall. Überkapazitäten	sind vorprogrammiert,	denn Knochenmehl muss	2000	2005	vorprogrammiert
N00	"Party-Attack" - gute Stimmung	ist vorprogrammiert.		2000	2005	vorprogrammiert
NZZ00	nicht nachlassen. Die nächsten Morde	sind vorprogrammiert.	Gerhard Trüssel (Grünen)	2000	2005	vorprogrammiert
PRF00	eines Feuers denken. Das  Inferno	ist vorprogrammiert!	Und alle Verantwortlichen,	2000	2005	vorprogrammiert
P00	überfrachtet, die große Enttäuschung	ist vorprogrammiert,	der Flop wiederum gebiert	2000	2005	vorprogrammiert
NZZ00	weiteres wieder nehmen. Neue Konflikte	sind programmiert,	ebenso die Antwort der	2000	2005	programmiert
RHZ00	den Umweltfrevel; der negative Touch	ist programmiert.	Keine Andeutung, dass die	2000	2005	programmiert
M00	Leckerbissen und eine Menge Tore	sind vorprogrammiert.	Durch die Banden ist zudem	2000	2005	vorprogrammiert
N00	Ein Konflikt mit Russland in dieser Frage	ist programmiert,	da der ABM-Vertrag von 1972	2000	2005	programmiert
T01	die Welt vertrauen. Doch Enttäuschungen	sind vorprogrammiert.	Wenn die Grenzen im	2001	2005	vorprogrammiert
NKU01	und der nicht?" - Derartige Fragen	sind vorprogrammiert.	Schließlich wären einige	2001	2005	vorprogrammiert
PRF01	und der ÖVP-nahen  Industrie	sind programmiert.	Auch die Beamten als	2001	2005	programmiert
NKU01	und der nicht?" - Derartige Fragen	sind vorprogrammiert.	Schließlich wären einige	2001	2005	vorprogrammiert
M01	wie nie zuvor. Lachsalven und gute Laune	sind vorprogrammiert,	wenn sich routinierte	2001	2005	vorprogrammiert
NZZ01	Konfrontationen	sind programmiert	/Die Versteigerung der 172	2001	2005	programmiert
Z01	übernommen hatte. Kämpfe um die Richtung	sind programmiert.	Und das in einem Konzern, der	2001	2005	programmiert
PBT	Rehaträgern arbeiten. Reibungsverluste	sind vorprogrammiert.	Die Akten werden von einem	2001	2005	vorprogrammiert
PBT	Rehaträger.Abgrenzungsschwierigkeiten	sind vorprogrammiert.	Das gesamte soziale	2001	2005	vorprogrammiert
NZZ01	reagieren auf Berührungen und Töne,	sind programmiert	darauf, eine Anzahl von	2001	2005	programmiert
RHZ01	haben es nicht leicht. Konflikte	sind programmiert,	finanzielle Probleme keine	2001	2005	programmiert
RHZ01	CDU von einer "Seifenblase". Streit	ist programmiert.	Über Geheimverhandlungen	2001	2005	programmiert
NKU01	Lok Templin, Anpfiff 10 Uhr. Spannung	ist vorprogrammiert.	Selbst der Heimvorteil für	2001	2005	vorprogrammiert
U01	mit der Bundesregierung um Geld und Macht	ist programmiert.	Am 14. Februar wird	2001	2005	programmiert
RHZ01	im persönlichen und familiären Umfeld	sind programmiert,	finanzielle Probleme keine	2001	2005	programmiert
PHE	aber schon geräumt! ) Eine Nachtsitzung	ist programmiert,	es sei denn, die	2001	2005	programmiert
PMV	Diskussion über die Zukunft der Renten	ist vorprogrammiert.	Dann muss nachgebessert	2001	2005	vorprogrammiert
NKU01	schlicht gedrückt. Weitere Proteste	sind programmiert.	Christoph Slangen	2001	2005	programmiert
NUN01	anderswo gelagert werden. Der Konflikt	ist programmiert;	wie zuletzt 1997 wird es Ende	2001	2005	programmiert
U01	in Milliardenhöhe. Ihr Abwurf	ist programmiert,	aber nicht terminiert. Dicke	2001	2005	programmiert
U01	der EM wieder einziehen. Doch Probleme	sind programmiert,	meint Tanja Braun, 26. Sie	2001	2005	programmiert
PRF01	das Buch auf Deutsch. Die Erregung	ist vorprogrammiert.	Die Holocaust-Industrie	2001	2005	vorprogrammiert
PBT	zum Beispiel beim Liegenschaftsverkauf,	sind vorprogrammiert.	Aber mit der	2001	2005	vorprogrammiert
U01	Arbeitsweisen. Ein langwieriger Konflikt	ist programmiert.	Dann muss die	2001	2005	programmiert
PRF01	und das Objekt eurer Begierde	ist  programmiert,	sich nicht aufzuführen wie	2001	2005	programmiert
T01	oder die Armee. Mangelnde Effizienz	ist programmiert.	Denn an der Spitze der ersten	2001	2005	programmiert
PBT	Alarmzeichen. Der Mangel an Fachkräften	ist vorprogrammiert.	Wenn wir nicht bereits	2001	2005	vorprogrammiert
RHZ01	den Durchgangsverkehr und die Bewohner	sind programmiert."	Auch mögliche Belästigungen	2001	2005	programmiert
NUN01	beziehungslos, Nachbarschaftsstreit	ist programmiert.	Erst wenn die Häuser stehen,	2001	2005	programmiert
A01	beim Vater. Die Eifersucht der Frau	ist vorprogrammiert,	doch nicht die Ursache des	2001	2005	vorprogrammiert
Z01	Reformvorschläge erwartet - der Ärger	ist programmiert.	Reformer müssen "mächtige	2001	2005	programmiert
NUN01	nach "nationaler Einheit" sehnt. Krach	ist programmiert	Die Gegner der Koalition mit	2001	2005	programmiert
M01	heiße Rhythmen und viel gute Stimmung	sind programmiert.	Wer sich das nicht entgehen	2001	2005	programmiert
M01	zu sein wie früher. Eine Überanstrengung	ist programmiert.	Deshalb entstehen gerade bei	2001	2005	programmiert
U01	Konflikte in der Regierungskoalition	sind programmiert	- sei es in der	2001	2005	programmiert
M01	können. Unfälle und Streitigkeiten	sind programmiert.	Um ein Chaos zu verhindern,	2001	2005	programmiert
RHZ01	liegen vor den Läufer/innen Gedränge	ist programmiert!	Am Samstag, 16.45 Uhr, fällt	2001	2005	programmiert
FLT01	der gesellschaftlichen Wertschöpfung	sind vorprogrammiert.	Rudolf O. Zucha, Wien 12	2001	2005	vorprogrammiert
A01	Informationstechnologie. Aber Konflikte	sind vorprogrammiert:	Alle Gewerkschaften	2001	2005	vorprogrammiert
U01	Engpässe auf dem Luft- und Schienenweg	sind programmiert,	zumal zeitgleich rund 800000	2001	2005	programmiert
Z01	nicht verzweifeln - die Enttäuschung	ist programmiert:	Gerade in der	2001	2005	programmiert
M01	ein. Die Fahrscheindrucker und Entwerter	sind vorprogrammiert	und stellen sich auf die	2001	2005	vorprogrammiert
RHZ01	beim Alten und der nächste Ausbruch	ist programmiert.	Eigentlich ist es eher zum	2001	2005	programmiert
PRF01	Auseinandersetzungen	sind vorprogrammiert.	Alles Napster, oder	2001	2005	vorprogrammiert
PNW	Arbeitsvermittlung und Arbeitgebern	sind vorprogrammiert.	Dies kann zu einer	2001	2005	vorprogrammiert
PNW	geschlagen worden zu sein. Folgeprobleme	sind vorprogrammiert.	Die beste Möglichkeit,	2001	2005	vorprogrammiert
A01	mit Längen zwischen 3 und 26 Minuten	sind programmiert	- vom ironischen Drama über	2001	2005	programmiert
M01	von ihrem Fach verstehen. Der Wechsel	ist vorprogrammiert.	Ab sofort steht Thomas	2001	2005	vorprogrammiert
RHZ01	Das war weise, doch der nächste Streit	ist programmiert.	E-Mail an die Autorin: A.	2001	2005	programmiert
RHZ01	bilden sich vier Paare. Das Happy End	ist vorprogrammiert.	Alles Stoff, aus dem ein	2001	2005	vorprogrammiert
U01	Mark kosten wird? Politische Konflikte	sind programmiert.	Bei der CSU wächst die	2001	2005	programmiert
M01	Olymp und Wellness-Center, der Ärger	ist vorprogrammiert,	man mag sich nicht.	2001	2005	vorprogrammiert
NKU01	wird, kommen die Probleme und Knatsch	ist vorprogrammiert."	Allein die materiellen	2001	2005	vorprogrammiert
M01	Interessante Duelle und Spitzensport	sind vorprogrammiert.	300 Zuschauer erwartet der	2001	2005	vorprogrammiert
T01	Verfolgungsjagden und Gruseleien	sind vorprogrammiert.	Und begleitet wird das	2001	2005	vorprogrammiert
T01	in den USA bis zu 30 Prozent mehr. Es	ist vorprogrammiert,	dass die Hessen-Inder sich	2001	2005	vorprogrammiert
U01	Sieger bremsen soll. Nicht nur der Ärger	ist programmiert.	Einer braucht immer den	2001	2005	programmiert
RHZ01	Ärger	ist programmiert	Konsequenz aus niedrigen	2001	2005	programmiert
A01	Griff zur Geldpresse - eine Yen-Baisse	ist vorprogrammiert.	Unklarheit beim Euro Die	2001	2005	vorprogrammiert
NZZ01	grenzüberschreitende Katastrophen	sind programmiert,	die Suche nach dem	2001	2005	programmiert
T01	daheim vor Bierdosen thront. Die Revolte	ist vorprogrammiert...	Der Zeichentrickfilm	2001	2005	vorprogrammiert
PRF01	Gerhard Weis und Schüssel	sind programmiert.	In einer offiziellen	2001	2005	programmiert
U01	zu sein. Prügel von allen Seiten	sind programmiert.	Aber da war dieses Ereignis	2001	2005	programmiert
RHZ01	Bildungs- und soziale Probleme	sind programmiert,	wenn Kinder ohne	2001	2005	programmiert
M01	Warmduscher. Ultrakomische Situationen	sind vorprogrammiert,	da Martin immer singen	2001	2005	vorprogrammiert
NZZ01	Harte Interessenkonflikte	sind vorprogrammiert.	Mit NZZ-Chefredaktor	2001	2005	vorprogrammiert
RHZ01	Staubildungen und auch Verkehrsunfälle	sind programmiert.	Begegnungsverkehr am Alten	2001	2005	programmiert
NZZ01	gemacht werden (auf beiden Seiten),	ist vorprogrammiert.	Es herrscht Krieg. Kritik	2001	2005	vorprogrammiert
T01	Perspektiven suchen? Ausschreitungen	sind programmiert	und der Innensenator wird	2001	2005	programmiert
RHZ01	Das beziehungstechnische Chaos	ist programmiert.	Der Aufführungsort hätte	2001	2005	programmiert
U01	Hohenschönhausen. Die Krawalle	sind programmiert	- mit einem Rekordaufgebot	2001	2005	programmiert
T01	Fragen beschäftigt. Konflikte	sind vorprogrammiert	BERLIN taz Die 24	2001	2005	vorprogrammiert
NZZ01	Tür und Tor. Noch höhere Defizite	sind vorprogrammiert.	In der Fernwärmepolitik	2001	2005	vorprogrammiert
NKU01	Einsatzfahrzeuge (Unfälle und Randale	sind programmiert)	muss gewährleistet sein;	2001	2005	programmiert
RHZ01	sowie seelische und sexuelle Probleme	sind vorprogrammiert.	Die Veranstaltung im Haus	2001	2005	vorprogrammiert
RHZ01	Samstag. Der Streit mit der IG Metall	ist programmiert.	WOLFSBURG. Das Projekt heißt	2001	2005	programmiert
NUN01	ist das. Das Scheitern ihrer Träume	ist programmiert:	Berta bleibt gefangen in den	2001	2005	programmiert
RHZ01	zur stärksten Kraft - Interne Konflikte	sind programmiert	- Chaotische Wahlnacht Um	2001	2005	programmiert
RHZ01	den bekannten Hits des Tabaluga-Zähmers	ist vorprogrammiert.	Karten gibt's in den	2001	2005	vorprogrammiert
U01	wie das am besten erreicht werden kann,	ist programmiert.	Alfred Dürr	2001	2005	programmiert
RHZ01	Staus auf der Pfaffendorfer Brücke	sind programmiert.	17	2001	2005	programmiert
M01	ein Puffer drin." Doch der nächste Stau	ist programmiert:	Vom 21. bis 23. Mai, jeweils	2001	2005	programmiert
RHZ01	den bekannten Hits des Tabaluga-Zähmers	ist programmiert.	Karten gibt's in den	2001	2005	programmiert
RHZ01	Staus auf der Pfaffendorfer Brücke	sind programmiert.	Gleichzeitig muss	2001	2005	programmiert
FOC01	erst noch kommen."  Wütende Reaktionen	sind vorprogrammiert.	In dem zehnseitigen	2001	2005	vorprogrammiert
RHZ01	im Zelt BAUMHOLDER. Magische Atmosphäre	ist programmiert:	Der Zirkus Montana gastiert	2001	2005	programmiert
RHZ01	verhindert werden. Die Katastrophe	ist programmiert.	FLUGHAFEN HAHN. Es scheint	2001	2005	programmiert
NZZ01	werden soll - der Interessenkonflikt	ist vorprogrammiert.		2001	2005	vorprogrammiert
NUN01	von weit mehr als 2000 Teilnehmern	ist programmiert.	Informationen im Internet:	2001	2005	programmiert
U01	wird es nicht geben. Der nächste Wirbel	ist programmiert.	Michaelis Kollege,	2001	2005	programmiert
T01	wo Abtreibung verboten ist. Konflikte	sind programmiert.	Als das Gerücht aufkam, dass	2001	2005	programmiert
U01	Weiterer Streit innerhalb der Koalition	ist programmiert,	weil Schily die gesamten	2001	2005	programmiert
U01	1001 Projekte und Gesellschaften." Streit	ist programmiert,	wenn heute Erwin Huber vor	2001	2005	programmiert
NKU01	J. Zimmermann gegen Jasinski. Spannung	ist programmiert.		2001	2005	programmiert
RHZ01	das Sorgerecht für die Kinder streiten,	ist programmiert,	dass die Kleinen darunter	2001	2005	programmiert
NZZ01	Kostenexplosion im Gesundheitswesen	sind programmiert.	Ist eine solche Einsparung	2001	2005	programmiert
NZZ01	Feuerwerk der beiden im Saisonfinale	ist programmiert,	die Nach-Jordan-Ära definitiv	2001	2005	programmiert
NZZ01	Kaffee, und das Scheitern an der Urne	ist vorprogrammiert.	Costa Rica beispielsweise	2001	2005	vorprogrammiert
NKU01	will. Weitere bittere Enttäuschungen	sind programmiert.	(...) Am Ende könnten die	2001	2005	programmiert
